input,response
Hello I'm your nurse,Bonjour je suis votre infirmière
Are you in pain?,Oui j'ai mal à la tête
Can you tell me more about the pain?,C'est une douleur qui pince
Where is the pain located?,C'est au niveau de mon front
What is the pain level from 1 to 10?,C'est un 7
When did the pain start?,Ce mal est démarré ce matin
Is it a sharp or dull pain?,C'est une douleur aiguë
What did you have for breakfast this morning?,J'ai eu des waffles
What is your name?,Je m'appelle Jean
What is your last name?,Mon nom de famille est François
What is your favourite game?,J'adore jouer à la pétanque
